2 1:10.418967956978 2:16.066472942541 3:19.5292980594127 4:19.593401370597 5:8.29877581653671 6:20.4289173486556 7:16.7661077260516 8:16.6187106338213 9:18.0093929779232 10:19.5263126135071 11:26.5627284585312 12:5.13351117345508 13:35.292419285193 14:35.4938508791701 15:9.401760023388 16:9.06814752254473 17:35.4458460037336 18:38.0572140420765 19:7.96804531994777 20:93.4863503347867 21:118.818157379723 22:139.006500838282 23:49.3149090605301 24:68.6979288881343 25:88.9226787561005 26:147.741633948123 27:161.108574027121 28:175.048364184437 29:117.596362481836 30:145.05230040634 31:174.695015689604 32:107.345538424169 33:112.786264945207 34:114.538548503086 35:149.942467409431 36:153.47348103143 37:162.648510613783 38:28.1344170511608 39:31.5630555362769 40:-29.15454987489 41:-31.1191886243686 42:10.6985629654266 43:-6.72524487468558 44:-30.8982470085923 45:-14.3478135683272 46:5.63941472013232 47:13.5265807030906 48:-12.7603272317161 49:-11.0335145198124 50:0.201221128366248 51:0.0675780168071979 52:0.0388793865591622 53:0.0717550476328568 54:-0.000827789891065748 
2 1:10.229143538748 2:16.0590500364652 3:18.5018189175483 4:19.3571505578269 5:7.78992292903775 6:20.5854858833802 7:16.7906462893799 8:16.3020055854305 9:18.1404003758448 10:19.6446830545701 11:26.7469334783202 12:5.20114253004422 13:35.2744666919011 14:34.0205661204436 15:9.7579125546541 16:9.28976266118181 17:35.1211900943712 18:37.8416383793057 19:8.18736127962031 20:89.4125613963239 21:119.043366487268 22:137.239085337976 23:63.167072919061 24:75.7859877099469 25:83.3879112765978 26:146.635873681388 27:162.953011533396 28:172.13802915312 29:127.912241663235 30:143.646138805446 31:177.002270380837 32:115.317701870345 33:116.544842366434 34:118.026344620258 35:150.970117822932 36:152.255230331779 37:153.384010702434 38:29.8122493446701 39:32.0457067858014 40:-28.6630899231467 41:-30.4644461410741 42:12.5258160341117 43:-4.17279379649295 44:-31.8036033254531 45:-15.2592332904735 46:5.80500132507748 47:13.2746434874005 48:-13.2821801635954 49:-11.0644519329071 50:0.30326052253326 51:0.0597496208972225 52:0.0146057328877867 53:0.0515388666738206 54:0.381274151544317 
2 1:10.1617686380995 2:15.91180341067 3:20.1041024620481 4:18.7304925146381 5:7.17286869029414 6:20.4117767791352 7:16.8117194841195 8:16.6671623063303 9:17.9679554972545 10:19.5880425217873 11:26.6875863802127 12:5.23063690287507 13:35.2130115500422 14:34.1450311886901 15:9.71004186489859 16:9.3064643660413 17:35.665754736881 18:37.4380053658474 19:8.62869871098457 20:104.003012836751 21:120.182208934911 22:138.522752759139 23:64.9350399596638 24:73.7891847729155 25:82.2001083737581 26:162.248435761819 27:172.154685041324 28:176.836377604224 29:101.280589157596 30:134.436259407788 31:175.732481282434 32:107.107534671241 33:111.667461202404 34:116.852802916022 35:151.170001605629 36:154.038622543842 37:157.972712920155 38:30.7327585319678 39:31.0112869838874 40:-29.980617215236 41:-31.657595227162 42:12.3954981168111 43:-5.95188918709755 44:-29.8155453602473 45:-13.2668747293452 46:5.85851796468099 47:13.9876947402954 48:-13.6483081181844 49:-11.2364126841227 50:0.144037989145995 51:0.0588721817070014 52:0.0230690093702055 53:0.0766109356119274 54:0.142081701731219 
2 1:10.5183193530809 2:16.1560814343395 3:17.5731930800828 4:19.1140216983499 5:7.77475071510753 6:20.0660404385234 7:16.8537948422379 8:17.0593242815383 9:17.8225211599284 10:19.6035127808229 11:26.6898393976493 12:5.19158736079021 13:35.3200933010453 14:34.0747200100852 15:9.55070173386456 16:9.07601206681919 17:35.575532497436 18:37.0839370090572 19:8.8010328745465 20:106.979496756565 21:125.595337266569 22:133.793611010162 23:77.6312934767635 24:84.7989324769576 25:92.3558923018599 26:149.246686969028 27:158.196481981747 28:167.775728119555 29:103.295756513337 30:111.271777943141 31:122.157351832051 32:107.322718738295 33:110.409118376071 34:115.228242070707 35:155.832140304645 36:159.177780945331 37:161.524746555956 38:31.6336539246746 39:32.2721403696247 40:-31.2199870577535 41:-32.6440737557572 42:12.3805530570649 43:-3.97430091492228 44:-28.6130556887066 45:-12.1073690922679 46:5.53523398734428 47:11.7153776658548 48:-14.0049083812817 49:-10.9759727039853 50:0.16608102449057 51:0.0863474992659898 52:0.0353917597797855 53:0.0825631883620813 54:0.0242047367771954 
2 1:11.2712655452264 2:16.1246952656351 3:18.858293412623 4:19.6199119171652 5:6.72956730433328 6:19.9539932370276 7:16.8576093790413 8:17.4344033848914 9:17.8480505716405 10:19.5250046839125 11:26.5884878059134 12:5.33757584468868 13:35.5573367092206 14:33.575472695168 15:9.58056393085109 16:9.28129654835794 17:36.0996873490156 18:36.5239917679747 19:9.87343854156935 20:90.3538356984602 21:124.371917045496 22:139.184884804013 23:69.0990834554922 24:78.3033809481783 25:84.4057897321523 26:158.842997114932 27:166.889355557584 28:169.696295136287 29:96.234382805344 30:104.566021394471 31:130.72934453772 32:110.374043868597 33:111.642678272425 34:112.401269668058 35:158.84927736779 36:161.067325343117 37:163.245779677335 38:32.9820107767979 39:32.6424952099721 40:-31.1548508455356 41:-32.6267164796591 42:11.0590597192446 43:-6.93465326229731 44:-28.5845164159934 45:-12.07460034887 46:6.62685743967692 47:12.0985546112061 48:-15.2823394139608 49:-12.2338774998983 50:0.39259774860926 51:0.106699114510363 52:0.0150831931077394 53:0.0850191139054881 54:0.0223003223605529 
2 1:10.8093685324192 2:16.2776061035882 3:17.3823499666549 4:18.410574516651 5:7.2255205308838 6:19.3091082908072 7:16.8737703821286 8:17.7628968396312 9:17.8574151677417 10:19.5690007754115 11:26.6118418634269 12:5.29948042395077 13:35.4903816497608 14:34.0454375696539 15:9.50984337705247 16:8.95411640921547 17:35.3706937346986 18:36.9951053888766 19:8.87899310949485 20:104.116189280373 21:118.885145561139 22:133.21093151503 23:72.1104242883439 24:87.8141598228928 25:98.5560658201813 26:150.884592607466 27:157.34628694297 28:168.702054048658 29:99.0186639166617 30:110.534257096127 31:134.573143816296 32:110.9653502717 33:113.488542522692 34:117.797203373211 35:155.047591150742 36:157.515491311674 37:159.156037818459 38:32.138559093078 39:32.3644548157851 40:-31.2942178746064 41:-32.6006662150224 42:12.6899656057358 43:-4.01201698184013 44:-28.7887494762739 45:-12.3242869327466 46:4.61459159851074 47:9.36046441396077 48:-13.7791996002197 49:-10.3458271026611 50:0.148071599629494 51:0.0540224042247489 52:0.0267354366351971 53:0.0524444027284083 54:0.113152965637083 
2 1:10.8610183139315 2:16.2124935795826 3:17.8130224416952 4:18.373949592593 5:7.67377047733528 6:19.1491567477421 7:16.8663262025499 8:17.9199799402912 9:17.712415418511 10:19.5320877700652 11:26.6012286573486 12:5.29035767709508 13:35.8384842495417 14:33.8989000974781 15:9.52904007646272 16:8.96047497529346 17:35.6241624078036 18:37.0447295859714 19:8.6764937171436 20:109.312693274254 21:124.194934039761 22:139.588243009052 23:74.7178433414956 24:83.4759492269728 25:92.0555695188996 26:155.073980918748 27:161.203574568395 28:168.06651711813 29:96.7459604679064 30:106.638149485422 31:132.936283744043 32:109.936293732194 33:112.75378258439 34:116.201208535611 35:157.658638710397 36:159.462059060154 37:160.967680369093 38:31.8004817267259 39:32.1042041083177 40:-31.2055264810721 41:-32.6363056997458 42:12.1734876235326 43:-4.83302769064903 44:-28.420673340559 45:-11.9341854006052 46:5.06912962595622 47:10.2909421920776 48:-14.3151702880859 49:-11.0752801895142 50:0.133983000198766 51:0.0430218962222359 52:0.0148045042997763 53:0.0523412765158785 54:0.285945250870236 
2 1:10.4636549862491 2:16.2599955047441 3:17.5458574931596 4:17.598604976417 5:7.44903468802758 6:19.7767988001295 7:16.8327270181931 8:17.4300409779009 9:17.6796771775339 10:19.5438763812358 11:26.5936997670418 12:5.20664826756899 13:35.755478973975 14:34.8517110655136 15:9.61845573386964 16:8.84063139173992 17:35.9223537491547 18:37.0782922026491 19:8.09763105706837 20:92.3098586293582 21:117.049978255912 22:140.367241892325 23:80.8061562235549 24:89.0916646619341 25:97.7830670446653 26:151.002142718123 27:156.03756685099 28:161.688133443339 29:86.1525553643104 30:100.189179952567 31:128.762724035656 32:110.853119099399 33:111.743767395947 34:112.865844247567 35:153.598940525431 36:157.433394596705 37:160.209347019301 38:31.7141469064597 39:31.7736859458524 40:-31.4326985663659 41:-32.9318533676702 42:12.5501509252432 43:-4.0011759545352 44:-28.0385579813171 45:-11.6611513082643 46:2.67362111323589 47:8.32622598957371 48:-14.050241418787 49:-10.4997390025371 50:0.314070428228994 51:0.0764465849003357 52:0.0257990367118134 53:0.0637713449895839 54:0.314496830933072 
2 1:9.83535265172628 2:16.1489040666379 3:16.458215942959 4:18.0638947968964 5:7.78010490595205 6:20.4472794012946 7:16.3959682143582 8:16.5532373526098 9:17.6557099910697 10:19.6036799436378 11:26.6631899682813 12:5.22500948108748 13:35.1241211939851 14:35.6310824446143 15:9.43075869141684 16:8.57773682554405 17:35.9214819289327 18:37.0070802530277 19:7.93423663417356 20:97.0501238652215 21:115.31053538209 22:127.270846904722 23:89.3506541307082 24:99.4713155432274 25:109.346590332148 26:138.787912421346 27:148.828135712017 28:157.666639633585 29:89.5831134564821 30:102.808222615306 31:114.356276779603 32:109.467008581828 33:111.028458484312 34:112.52478413994 35:154.403453487256 36:158.390406011202 37:160.351352286515 38:32.9601297465463 39:32.0098737151259 40:-32.085802540597 41:-33.1463954411447 42:13.0448486655951 43:-2.38008932727906 44:-27.4275766271684 45:-11.3675939798769 46:1.54859390523699 47:7.19738701979319 48:-12.7448846896489 49:-9.63986449771457 50:0.0796326898790769 51:0.0491236664911552 52:0.0217685112818733 53:0.0550874268246489 54:0.0281511717100809 
2 1:10.6009555571941 2:15.5985579927682 3:16.3695379286641 4:18.4349911963719 5:8.74961782461799 6:20.0731973087944 7:16.1484125213131 8:16.6911295132233 9:17.6872628148983 10:19.6549485250339 11:26.7121305016526 12:5.24196800369778 13:35.0622736892472 14:35.762603473563 15:9.30388114752714 16:8.92332107053055 17:36.4897733896464 18:36.716212843566 19:7.81577555232576 20:110.769602250169 21:120.703324651496 22:136.144951879669 23:86.0788039470063 24:95.5844267371627 25:108.100820219559 26:144.333882974429 27:150.742562462438 28:159.237724386022 29:101.03468378529 30:108.661814053847 31:117.936014871125 32:110.115126514971 33:112.505500006692 34:115.38157630228 35:157.388659013319 36:159.94890685697 37:164.156666110934 38:32.064597239097 39:31.8642060259978 40:-32.8338082333406 41:-33.1311102211475 42:12.4785829385122 43:-2.71671069661776 44:-26.456865499417 45:-10.6665959060192 46:1.70734596252441 47:7.72355683644613 48:-13.2289838790894 49:-9.91506004333496 50:0.0938920223678607 51:0.0587354556791138 52:0.0687789614868562 53:0.0718669317633471 54:-0.0126285681375585 
